date,p0,p1,p2,p3,refit_date
2017-12-31,7.648610867479006e-23,6.271356599389462e-08,0.007350763589143287,0.9926491736972907,2017-12-31
2018-01-31,1.8379032079882415e-20,1.0558213400355322e-07,0.046879530697168055,0.953120363720698,2017-12-31
2018-02-28,4.878621164047417e-18,3.73973525806834e-08,0.9877329193230988,0.012267043279548572,2017-12-31
2018-03-31,6.393607640301504e-16,3.131989620141219e-09,0.9999654726141779,3.452425383187972e-05,2017-12-31
2018-04-30,1.343092343335152e-16,1.4834813594110069e-09,0.9999225478196074,7.745069691102918e-05,2017-12-31
2018-05-31,1.298290836360479e-17,3.92095268915731e-09,0.9997445506445485,0.00025544543449879483,2017-12-31
2018-06-30,4.990337796132883e-16,2.4159200620981175e-10,0.9999294808900325,7.051886837496707e-05,2017-12-31
2018-07-31,3.9230460264587226e-15,2.7359550750494234e-09,0.9998925993124302,0.0001073979516107798,2017-12-31
2018-08-31,3.0982851377258044e-14,8.827619651059561e-10,0.9995863264118516,0.0004136727053554683,2017-12-31
2018-09-30,4.2118181722668275e-12,4.60311136784776e-09,0.9999275317652664,7.246362741048315e-05,2017-12-31
2018-10-31,3.269481803686515e-08,1.2890338012544643e-07,0.9999997999201969,3.84816049030156e-08,2017-12-31
2018-11-30,1.3467916200131677e-09,1.0392939378253632e-07,0.9999998705424087,2.4181405879174883e-08,2017-12-31
2018-12-31,0.9917401510354724,8.943889858557864e-42,0.00825978747603385,6.148849371548753e-08,2018-12-31
2019-01-31,0.999991463180196,4.630193972992118e-26,7.945984867913002e-08,8.457359955321413e-06,2018-12-31
2019-02-28,0.9999930934417025,1.8778369749297322e-19,8.849562739448225e-09,6.897708734762015e-06,2018-12-31
2019-03-31,0.9996316886082343,2.5553252281389834e-19,1.8563165849872453e-10,0.00036831120613408074,2018-12-31
2019-04-30,0.9991063787252229,8.953265984614303e-17,7.071600036216368e-09,0.0008936142031769718,2018-12-31
2019-05-31,0.9938498843071283,6.331639190554441e-18,0.00010963363498810619,0.006040482057883599,2018-12-31
2019-06-30,0.9951662120025746,1.6171025612575126e-19,3.5293248324292743e-06,0.004830258672592974,2018-12-31
2019-07-31,0.9878568473970073,2.5287862641746694e-14,0.00013244541804704893,0.012010707184920253,2018-12-31
2019-08-31,0.18866161842335644,2.0186114565152744e-12,0.025196725218637087,0.7861416563559879,2018-12-31
2019-09-30,0.0033400340292092773,1.3080910577294306e-13,0.00012022739688569111,0.9965397385737742,2018-12-31
2019-10-31,8.234511109915394e-05,1.9757469061169293e-11,2.048129895751198e-07,0.9999174500561538,2018-12-31
2019-11-30,6.181704115809151e-07,1.7420804206864036e-09,1.464711881402324e-11,0.9999993800728608,2018-12-31
2019-12-31,4.0969598416765746e-05,1.2941657881901164e-06,0.9999577360453875,1.9040759933005172e-10,2019-12-31
2020-01-31,2.2367916748297697e-08,7.154712618095491e-09,0.9999999701385605,3.3881008804310267e-10,2019-12-31
2020-02-29,4.3444057140811636e-23,1.0838957710736204e-09,0.9999999989161036,5.634971227566376e-16,2019-12-31
2020-03-31,3.4027159230447304e-38,2.566787158408125e-17,1.0,1.133531488872908e-22,2019-12-31
2020-04-30,6.251911686163231e-19,7.364700304364079e-09,0.9999999926352997,5.190302745163496e-29,2019-12-31
2020-05-31,4.015191676144535e-06,0.9999959848083239,8.77879803011045e-19,9.149071660447241e-60,2019-12-31
2020-06-30,1.9814429954439552e-07,0.9999998018557004,1.0316688836148422e-27,8.881754812253046e-47,2019-12-31
2020-07-31,1.6640287155326223e-06,0.9999983359712133,7.121748524075804e-14,4.653369394003085e-22,2019-12-31
