date,p0,p1,p2,p3
2009-05-31,6.604401285069496e-13,0.9999999999995453,6.974702456627347e-118,1.9280983778243263e-140
2009-06-30,1.0062303497734473e-12,0.9999999999990905,9.014124093746546e-114,1.0373844118541273e-139
2009-07-31,1.7656053982263575e-12,0.999999999998181,8.901906466925313e-101,1.9598795719570845e-134
2009-08-31,6.719357035979961e-11,0.9999999999326974,1.6775716355740485e-93,5.420559557668002e-122
2009-09-30,2.814233134141478e-05,0.9999718576686152,6.5214273992095785e-74,1.1356402533519205e-113
2009-10-31,0.8715252169135892,0.12847478308626684,6.15247095689909e-62,2.2029734118768878e-98
2009-11-30,0.9998720984382249,0.00012790156166039696,1.0505711014456755e-62,8.987727382611303e-97
2009-12-31,0.9999999978181222,2.181736991160624e-09,2.0889878186430176e-73,1.482220255490226e-94
2010-01-31,0.999999859933733,1.4006605837815384e-07,1.0240573710682993e-71,5.52682316076039e-105
2010-02-28,0.9999999943820512,5.618172202709866e-09,9.43862806098627e-70,4.784578949718204e-102
2010-03-31,0.9999999996457518,3.542853547469862e-10,1.7453629094486946e-71,6.879847804069991e-95
2010-04-30,0.9999999773463062,2.265360152994911e-08,2.4404040056731713e-67,1.109341530299007e-93
2010-05-31,0.9999999505330391,4.946673803951111e-08,1.0741197349463697e-69,5.160741293082968e-84
2010-06-30,0.9999999983374437,1.6624611849614086e-09,3.56840535358664e-71,1.8497994171586292e-92
2010-07-31,1.0,5.566454326458429e-16,3.066831052998611e-73,2.0118742468008603e-87
2010-08-31,1.0,2.2462711752257013e-17,4.195469273001791e-59,3.066645672583508e-85
2010-09-30,1.0,2.2476560053402344e-16,3.3796792637254706e-59,5.5836076171649043e-73
2010-10-31,1.0,6.482586771555125e-17,2.9667861399662562e-61,2.3134230388076488e-70
2010-11-30,1.0,1.8311768331118126e-15,2.1907858920224523e-67,9.819216343278352e-75
2010-12-31,1.0,1.2626275921732682e-16,1.9611214636471797e-69,1.0345186836290663e-74
2011-01-31,0.9999999999990905,7.075779284824659e-13,2.281110092448929e-73,4.0258868188542675e-82
2011-02-28,0.9999999999977263,2.3479512627787092e-12,3.317404559170359e-68,1.105678499941886e-87
2011-03-31,1.0,1.0268048681002609e-13,8.652637310889255e-66,3.2943227233481874e-82
2011-04-30,1.0,5.961104734372192e-16,1.1538511181747402e-63,2.3718327936191158e-77
2011-05-31,1.0,8.330664565389928e-14,5.05004514219331e-56,2.424112448547451e-78
2011-06-30,0.9999999999436113,5.6496162339520606e-11,1.0388095980239208e-58,2.743422297494658e-72
2011-07-31,0.9999999818815014,1.811848885142912e-08,2.947544840755271e-52,8.595501919968511e-77
2011-08-31,0.9999998100788796,1.8992100622506543e-07,1.0829250698769987e-38,2.6054500463351434e-70
2011-09-30,0.99999243771339,7.562286541913138e-06,4.361330056024909e-37,4.269560620396343e-56
2011-10-31,0.9999999993947313,6.051655875241932e-10,2.5887819687601037e-43,4.780304548473492e-53
2011-11-30,0.999999999998181,1.6419182446819861e-12,1.7519060834342172e-51,1.1348252179153068e-65
2011-12-31,1.0,8.231313064404655e-22,3.4524901066117195e-50,1.7360240237807866e-64
2012-01-31,1.0,5.8589463348627e-25,1.3090088706946052e-48,1.712657260742523e-60
2012-02-29,1.0,1.2335412907372257e-25,1.665936908885267e-54,2.5986244372757688e-62
2012-03-31,1.0,1.0998996564162606e-30,3.719287527743206e-63,9.532295100827316e-64
2012-04-30,1.0,2.8527936758308727e-33,1.547423308310183e-55,4.431719021366375e-65
2012-05-31,1.0,1.97756957020144e-30,8.414017593667795e-57,1.3451559805627928e-65
2012-06-30,1.0,2.3250050841062112e-36,5.8052802227522416e-52,5.817333957016768e-57
2012-07-31,1.0,2.154319166806907e-32,4.3043820066699326e-47,4.504349695152502e-52
